CurrentCountry;CPI_2019
Danmark;87
New Zealand;87
Finland;86
Singapore;85
Sverige;85
Schweiz;85
Norge;84
Holland;82
Tyskland;80
Luxembourg;80
Island;78
Australien;77
Østrig;77
Canada;77
Storbritannien;77
Hong Kong;76
Belgien;75
Estland;74
Irland;74
Japan;73
Forenede Arabiske Emirater;71
Uruguay;71
Frankrig;69
Amerikas Forenede Stater;69
Bhutan;68
Chile;67
Seychellerne;66
Taiwan;65
Bahamas;64
Barbados;62
Portugal;62
Qatar;62
Spanien;62
Botswana;61
Brunei Darussalam;60
Israel;60
Litauen;60
Slovenien;60
Korea, Syd;59
Saint Vincent og Grenadinerne;59
Cabo Verde;58
Cypern;58
Polen;58
Costa Rica;56
Tjekkiet;56
Georgien;56
Letland;56
Dominica;55
Saint Lucia;55
Malta;54
Grenada;53
Italien;53
Malaysia;53
Rwanda;53
Saudi Arabien;53
Mauritius;52
Namibia;52
Oman;52
Slovakiet;50
Cuba;48
Grækenland;48
Jordan;48
Kroatien;47
Sao Tomé og Principe;46
Vanuatu;46
Argentina;45
Hviderusland;45
Montenegro;45
Senegal;45
Ungarn;44
Rumænien;44
Sydafrika;44
Surinam;44
Bulgarien;43
Jamaica;43
Tunesien;43
Armenien;42
Bahrain;42
Salomonøerne;42
Benin;41
Kina;41
Ghana;41
Indien;41
Marokko;41
Burkina Faso;40
Guyana;40
Indonesien;40
Kuwait;40
Lesotho;40
Trinidad og Tobago;40
Serbien;39
Tyrkiet;39
Ecuador;38
Sri Lanka;38
Østtimor;38
Colombia;37
Etiopien;37
Gambia;37
Tanzania;37
Vietnam;37
Bosnien-Hercegovina;36
Kosovo;36
Panama;36
Peru;36
Thailand;36
Albanien;35
Algeriet;35
Brasilien;35
Elfenbenskysten;35
Egypten;35
Nordlige Makedonien;35
Mongoliet;35
El Salvador;34
Kasakhstan;34
Nepal;34
Filippinerne;34
Eswatini;34
Zambia;34
Sierra Leone;33
Moldova;32
Niger;32
Pakistan;32
Bolivia;31
Gabon;31
Malawi;31
Aserbajdsjan;30
Djibouti;30
Kirgisistan;30
Ukraine;30
Guinea;29
Laos;29
Maldiverne;29
Mali;29
Mexico;29
Myanmar;29
Togo;29
Dominikanske republik;28
Kenya;28
Libanon;28
Liberia;28
Mauretanien;28
Papua Ny Guinea;28
Paraguay;28
Rusland;28
Uganda;28
Angola;26
Bangladesh;26
Guatemala;26
Honduras;26
Iran;26
Mozambique;26
Nigeria;26
Cameroun;25
Den Centralafrikanske Republik;25
Comorerne;25
Tadsjikistan;25
Usbekistan;25
Madagaskar;24
Zimbabwe;24
Eritrea;23
Nicaragua;22
Cambodja;20
Tchad;20
Irak;20
Burundi;19
Congo;19
Turkmenistan;19
Den Demokratiske Republik Congo;18
Guinea-Bissau;18
Haiti;18
Libyen;18
Korea, Nord;17
Afghanistan;16
Ækvatorial Guinea;16
Sudan;16
Venezuela;16
Yemen;15
Syrien;13
Sydsudan;12
Somalia;9
