"","ID","Age","Gender","Education","CogSci","CPI_native","CPI_current","NativeCountry","CurrentCountry","Years_Current","d_condition","d_data","q_condition","q_data","f_condition","f_data"
"1:1","1","21","Kvinde","Gymnasial uddannelse","Ja",87,87,"Danmark","Danmark","18","Dilemma1","0",NA,NA,NA,NA
"1:2","2","24","Kvinde","Gymnasial uddannelse","Ja",87,87,"Danmark","Danmark","24","Dilemma1","0",NA,NA,NA,NA
"1:3","3","25","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","25","Dilemma1","0",NA,NA,NA,NA
"1:4","17","46","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","46","Dilemma1","0",NA,NA,NA,NA
"1:5","31","22","Mand","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","22","Dilemma1","1",NA,NA,NA,NA
"1:6","6","52","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","52","Dilemma1","0",NA,NA,NA,NA
"1:7","24","53","Mand","Kandidat","Nej",87,87,"Danmark","Danmark","52","Dilemma1","1",NA,NA,NA,NA
"1:8","8","59","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","59","Dilemma1","0",NA,NA,NA,NA
"1:9","22","20","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","20","Dilemma1","0",NA,NA,NA,NA
"1:10","10","52","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","52","Dilemma1","1",NA,NA,NA,NA
"1:11","15","51","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","51","Dilemma1","1",NA,NA,NA,NA
"1:12","12","50","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","50","Dilemma1","1",NA,NA,NA,NA
"1:13","26","20","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","20","Dilemma1","1",NA,NA,NA,NA
"1:14","14","48","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","48","Dilemma1","1",NA,NA,NA,NA
"1:15","19","57","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","57","Dilemma1","0",NA,NA,NA,NA
"1:16","29","55","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","55","Dilemma1","1",NA,NA,NA,NA
"1:17","43","63","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","63","Dilemma1","1",NA,NA,NA,NA
"1:18","44","44","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","44","Dilemma1","1",NA,NA,NA,NA
"1:19","27","60","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","60","Dilemma1","1",NA,NA,NA,NA
"1:20","37","18","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","18","Dilemma1","0",NA,NA,NA,NA
"1:21","21","45","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","45","Dilemma1","1",NA,NA,NA,NA
"1:22","35","18","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","18","Dilemma1","0",NA,NA,NA,NA
"1:23","28","49","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","49","Dilemma1","0",NA,NA,NA,NA
"1:24","32","52","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","52","Dilemma1","0",NA,NA,NA,NA
"1:25","40","47","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","47","Dilemma1","1",NA,NA,NA,NA
"1:26","20","48","Mand","Gymnasial uddannelse","Nej",82,87,"Holland","Danmark","25","Dilemma1","1",NA,NA,NA,NA
"1:27","23","27","Mand","Kandidat","Nej",20,87,"Irak","Danmark","25","Dilemma1","1",NA,NA,NA,NA
"1:28","5","16","Kvinde","Folkeskole","Nej",73,87,"Japan","Danmark","11","Dilemma1","1",NA,NA,NA,NA
"1:29","13","49","Mand","PhD","Nej",60,87,"Litauen","Danmark","11","Dilemma1","0",NA,NA,NA,NA
"1:30","33","44","Mand","Kandidat","Nej",44,87,"Rumænien","Danmark","9","Dilemma1","1",NA,NA,NA,NA
"1:31","42","50","Kvinde","Gymnasial uddannelse","Nej",44,87,"Rumænien","Danmark","12","Dilemma1","1",NA,NA,NA,NA
"1:32","41","55","Mand","Bachelor","Ja",44,87,"Rumænien","Danmark","13","Dilemma1","0",NA,NA,NA,NA
"1:33","38","39","Mand","Kandidat","Nej",38,87,"Sri Lanka","Danmark","35","Dilemma1","1",NA,NA,NA,NA
"1:34","39","49","Mand","Kandidat","Nej",80,87,"Tyskland","Sverige","13","Dilemma1","1",NA,NA,NA,NA
"1:35","45","54","Kvinde","Gymnasial uddannelse","Nej",80,87,"Tyskland","Danmark","25","Dilemma1","0",NA,NA,NA,NA
"1:36","7","48","Mand","PhD","Nej",44,87,"Ungarn","Danmark","11","Dilemma1","1",NA,NA,NA,NA
"1:37","25","49","Kvinde","Gymnasial uddannelse","Nej",44,87,"Ungarn","Danmark","10","Dilemma1","0",NA,NA,NA,NA
"1:38","4","46","Kvinde","Kandidat","Nej",44,87,"Ungarn","Danmark","11","Dilemma1","0",NA,NA,NA,NA
"1:39","36","18","Mand","Folkeskole","Nej",44,87,"Ungarn","Danmark","11","Dilemma1","1",NA,NA,NA,NA
"1:40","16","40","Kvinde","Kandidat","Nej",44,87,"Ungarn","Ungarn","36","Dilemma1","1",NA,NA,NA,NA
"1:41","34","17","Kvinde","Folkeskole","Nej",44,87,"Ungarn","Danmark","10","Dilemma1","1",NA,NA,NA,NA
"1:42","18","56","Kvinde","Kandidat","Ja",44,87,"Ungarn","Danmark","10","Dilemma1","1",NA,NA,NA,NA
"1:43","11","16","Mand","Folkeskole","Nej",44,85,"Ungarn","Danmark","10","Dilemma1","0",NA,NA,NA,NA
"1:44","9","43","Kvinde","PhD","Nej",44,44,"Ungarn","Ungarn","43","Dilemma1","1",NA,NA,NA,NA
"1:45","30","55","Kvinde","Kandidat","Nej",44,44,"Ungarn","Danmark","11","Dilemma1","1",NA,NA,NA,NA
"1:46","1","21","Kvinde","Gymnasial uddannelse","Ja",87,87,"Danmark","Danmark","18","Dilemma2","1",NA,NA,NA,NA
"1:47","2","24","Kvinde","Gymnasial uddannelse","Ja",87,87,"Danmark","Danmark","24","Dilemma2","1",NA,NA,NA,NA
"1:48","3","25","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","25","Dilemma2","1",NA,NA,NA,NA
"1:49","17","46","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","46","Dilemma2","1",NA,NA,NA,NA
"1:50","31","22","Mand","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","22","Dilemma2","1",NA,NA,NA,NA
"1:51","6","52","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","52","Dilemma2","0",NA,NA,NA,NA
"1:52","24","53","Mand","Kandidat","Nej",87,87,"Danmark","Danmark","52","Dilemma2","1",NA,NA,NA,NA
"1:53","8","59","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","59","Dilemma2","1",NA,NA,NA,NA
"1:54","22","20","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","20","Dilemma2","0",NA,NA,NA,NA
"1:55","10","52","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","52","Dilemma2","1",NA,NA,NA,NA
"1:56","15","51","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","51","Dilemma2","1",NA,NA,NA,NA
"1:57","12","50","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","50","Dilemma2","1",NA,NA,NA,NA
"1:58","26","20","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","20","Dilemma2","0",NA,NA,NA,NA
"1:59","14","48","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","48","Dilemma2","1",NA,NA,NA,NA
"1:60","19","57","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","57","Dilemma2","1",NA,NA,NA,NA
"1:61","29","55","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","55","Dilemma2","0",NA,NA,NA,NA
"1:62","43","63","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","63","Dilemma2","1",NA,NA,NA,NA
"1:63","44","44","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","44","Dilemma2","1",NA,NA,NA,NA
"1:64","27","60","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","60","Dilemma2","1",NA,NA,NA,NA
"1:65","37","18","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","18","Dilemma2","1",NA,NA,NA,NA
"1:66","21","45","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","45","Dilemma2","0",NA,NA,NA,NA
"1:67","35","18","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","18","Dilemma2","1",NA,NA,NA,NA
"1:68","28","49","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","49","Dilemma2","1",NA,NA,NA,NA
"1:69","32","52","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","52","Dilemma2","1",NA,NA,NA,NA
"1:70","40","47","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","47","Dilemma2","1",NA,NA,NA,NA
"1:71","20","48","Mand","Gymnasial uddannelse","Nej",82,87,"Holland","Danmark","25","Dilemma2","1",NA,NA,NA,NA
"1:72","23","27","Mand","Kandidat","Nej",20,87,"Irak","Danmark","25","Dilemma2","1",NA,NA,NA,NA
"1:73","5","16","Kvinde","Folkeskole","Nej",73,87,"Japan","Danmark","11","Dilemma2","1",NA,NA,NA,NA
"1:74","13","49","Mand","PhD","Nej",60,87,"Litauen","Danmark","11","Dilemma2","1",NA,NA,NA,NA
"1:75","33","44","Mand","Kandidat","Nej",44,87,"Rumænien","Danmark","9","Dilemma2","1",NA,NA,NA,NA
"1:76","42","50","Kvinde","Gymnasial uddannelse","Nej",44,87,"Rumænien","Danmark","12","Dilemma2","1",NA,NA,NA,NA
