Time;Age;Gender;Education;CogSci;Native_Country;Current_Country;Years_Current;Order;Dilemma1;Dilemma2;Face1;Face2;Face3;Face4;Face5;Face6;Face7;Face8;Face9;Face10;Face11;Face12;Face13;Face14;Face15;Face16;Face17;Face18;Face19;Face20;Q1;Q2;Q3;Q4;Face1;Face2;Face3;Face4;Face5;Face6;Face7;Face8;Face9;Face10;Face11;Face12;Face13;Face14;Face15;Face16;Face17;Face18;Face19;Face20;Dilemma1;Dilemma2;;;;;;
01/05/2020 15.54.49;21;Kvinde;Gymnasial uddannelse;Ja;Danmark;Danmark;18;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;4;5;5;3;5;4;3;4;5;5;2;3;3;4;4;5;2;3;4;3;3;3;4;4;Trække dig / sladre;Donere til fællespuljen;;;;;;
03/05/2020 12.43.17;24;Kvinde;Gymnasial uddannelse;Ja;Danmark;Danmark;24;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;3;4;2;4;4;4;4;4;5;5;3;3;4;4;4;5;3;3;3;4;2;5;3;4;Trække dig / sladre;Donere til fællespuljen;;;;;;
03/05/2020 21.37.35;25;Kvinde;Gymnasial uddannelse;Nej;Danmark;Danmark;25;Januar, februar, marts, april, maj eller juni;Trække dig / sladre;Donere til fællespuljen;6;4;2;4;5;4;2;4;4;4;6;6;5;4;2;4;5;6;5;6;5;6;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/05/2020 22.00.10;46;Kvinde;Kandidat;Nej;Ungarn;Danmark;11;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;4;4;2;5;5;3;3;2;5;4;3;4;3;5;5;3;3;3;4;4;5;3;2;4;Trække dig / sladre;Donere til fællespuljen;;;;;;
03/05/2020 22.07.19;16;Kvinde;Folkeskole;Nej;Japan;Danmark;11;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Donere til fællespuljen;3;4;3;3;4;2;3;4;2;3;4;4;4;4;4;4;4;2;3;4;2;3;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/05/2020 22.17.44;52;Kvinde;Gymnasial uddannelse;Nej;Danmark;Danmark;52;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;6;3;3;6;6;3;3;4;6;3;3;4;6;6;4;5;5;4;5;5;6;6;5;Trække dig / sladre;Beholde pengene;;;;;;
03/05/2020 22.29.55;48;Mand;PhD;Nej;Ungarn;Danmark;11;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Beholde pengene;4;6;2;4;3;6;4;3;5;3;5;5;2;3;6;5;3;6;6;4;4;4;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 06.39.11;59;Kvinde;Folkeskole;Nej;Danmark;Danmark;59;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;4;4;2;4;3;5;3;5;6;6;3;4;5;5;6;5;3;6;4;5;6;4;6;6;Trække dig / sladre;Donere til fællespuljen;;;;;;
04/05/2020 08.21.47;43;Kvinde;PhD;Nej;Ungarn;Ungarn;43;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;3;4;3;3;5;3;6;6;6;4;4;4;3;3;3;3;3;3;2;2;3;3;3;4;Samarbejde / tie;Donere til fællespuljen;;;;;;
04/05/2020 08.42.55;52;Kvinde;Gymnasial uddannelse;Nej;Danmark;Danmark;52;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;2;3;4;6;5;3;5;3;5;5;3;4;4;5;5;5;5;3;3;3;4;5;4;4;Samarbejde / tie;Donere til fællespuljen;;;;;;
04/05/2020 09.19.05;16;Mand;Folkeskole;Nej;Ungarn;Danmark;10;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;5;1;4;4;4;5;3;3;4;4;4;4;3;4;4;4;3;3;3;4;4;5;4;Trække dig / sladre;Donere til fællespuljen;;;;;;
04/05/2020 09.22.45;50;Kvinde;Bachelor;Nej;Danmark;Danmark;50;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;5;2;2;3;4;4;4;5;5;3;4;4;4;5;5;5;5;4;5;5;5;5;5;Samarbejde / tie;Donere til fællespuljen;;;;;;
04/05/2020 09.58.24;49;Mand;PhD;Nej;Litauen;Danmark;11;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Trække dig / sladre;Donere til fællespuljen;;;;;;
04/05/2020 12.03.12;48;Kvinde;Bachelor;Nej;Danmark;Danmark;48;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;3;5;2;5;5;3;5;4;2;2;3;2;3;2;2;1;1;1;2;3;4;2;2;2;Samarbejde / tie;Donere til fællespuljen;;;;;;
04/05/2020 12.33.36;51;Kvinde;Folkeskole;Nej;Danmark;Danmark;51;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Donere til fællespuljen;4;4;4;4;5;3;2;2;2;2;5;4;3;2;2;2;2;2;5;4;3;3;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
